koma_id,kanji,page,position,koma,chara_num,whos,eyes,face_direction,eyes_num,page_id,four_komas_id,tobirae_page,wasuu,grade,month,wasuu_page
01-009-5,1,9,L,1,2,"ゆ,縁,","デ,デ","↓,↓,",3,01-009,01-009-L,True,1,1,04月,6
01-009-6,1,9,L,2,2,"ゆ,縁,","デ,デ","←,→,",3,01-009,01-009-L,True,1,1,04月,6
01-009-7,1,9,L,3,2,"ゆ,縁,","デ,デ","←,→,",3,01-009,01-009-L,True,1,1,04月,6
01-009-8,1,9,L,4,2,"ゆ,縁,","デ,デ","↓,↓,",3,01-009,01-009-L,True,1,1,04月,6
01-010-1,1,10,R,1,3,"縁,唯,ゆ,","デ,詳,デ","←,↓,↓,",4,01-010,01-010-R,False,1,1,04月,6
01-010-2,1,10,R,2,1,"縁,",デ,"↓,",2,01-010,01-010-R,False,1,1,04月,6
01-010-3,1,10,R,3,1,"縁,",詳,"↓,",2,01-010,01-010-R,False,1,1,04月,6
01-010-4,1,10,R,4,3,"縁,唯,ゆ,","デ,詳,デ","←,↓,→,",4,01-010,01-010-R,False,1,1,04月,6
01-010-5,1,10,L,1,2,"縁,唯,","デ,詳","↓,→,",3,01-010,01-010-L,False,1,1,04月,6
01-010-6,1,10,L,2,2,"唯,ゆ,","デ,デ","↓,→,",3,01-010,01-010-L,False,1,1,04月,6
01-010-7,1,10,L,3,2,"縁,唯,","デ,隠","↓,↓,",3,01-010,01-010-L,False,1,1,04月,6
01-010-8,1,10,L,4,2,"縁,唯,","デ,詳","←,↓,",3,01-010,01-010-L,False,1,1,04月,6
01-011-1,1,11,R,1,3,"縁,ゆ,唯,","デ,詳,詳","↓,↓,↓,",4,01-011,01-011-R,False,1,1,04月,6
01-011-2,1,11,R,2,2,"ゆ,唯,","詳,詳","↓,←,",3,01-011,01-011-R,False,1,1,04月,6
01-011-3,1,11,R,3,1,"唯,",詳,"↓,",2,01-011,01-011-R,False,1,1,04月,6
01-011-4,1,11,R,4,2,"縁,ゆ,","デ,デ","↓,↓,",3,01-011,01-011-R,False,1,1,04月,6
01-011-5,1,11,L,1,3,"ゆ,縁,唯,","詳,デ,詳","↓,↓,↓,",4,01-011,01-011-L,False,1,1,04月,6
01-011-6,1,11,L,2,0,,n,nan,1,01-011,01-011-L,False,1,1,04月,6
01-011-7,1,11,L,3,0,,n,nan,1,01-011,01-011-L,False,1,1,04月,6
01-011-8,1,11,L,4,3,"ゆ,縁,唯,","デ,デ,詳","↓,↓,↓,",4,01-011,01-011-L,False,1,1,04月,6
01-012-1,1,12,R,1,2,"ゆ,唯,","デ,詳","↓,↓,",3,01-012,01-012-R,False,1,1,04月,6
01-012-2,1,12,R,2,2,"ゆ,唯,","詳,詳","↓,→,",3,01-012,01-012-R,False,1,1,04月,6
01-012-3,1,12,R,3,2,"ゆ,唯,","詳,詳","↓,→,",3,01-012,01-012-R,False,1,1,04月,6
01-012-4,1,12,R,4,2,"ゆ,唯,",デ,"↑,↓,",2,01-012,01-012-R,False,1,1,04月,6
01-012-5,1,12,L,1,3,"ゆ,唯,縁,","デ,詳,デ","↓,↓,↓,",4,01-012,01-012-L,False,1,1,04月,6
01-012-6,1,12,L,2,0,,n,nan,1,01-012,01-012-L,False,1,1,04月,6
01-012-7,1,12,L,3,3,"ゆ,唯,縁,","デ,デ","↓,↑,↓,",3,01-012,01-012-L,False,1,1,04月,6
01-012-8,1,12,L,4,2,"ゆ,縁,",デ,"↑,↓,",2,01-012,01-012-L,False,1,1,04月,6
01-013-1,1,13,R,1,0,,n,nan,1,01-013,01-013-R,False,1,1,04月,6
01-013-2,1,13,R,2,2,"ゆ,縁,","デ,デ","←,↓,",3,01-013,01-013-R,False,1,1,04月,6
01-013-3,1,13,R,3,2,"ゆ,縁,","デ,デ","↓,↓,",3,01-013,01-013-R,False,1,1,04月,6
01-013-4,1,13,R,4,3,"ゆ,縁,唯,","デ,デ,詳","↓,↓,↓,",4,01-013,01-013-R,False,1,1,04月,6
01-013-5,1,13,L,1,3,"唯,ゆ,縁,","デ,デ,デ","←,↓,→,",4,01-013,01-013-L,False,1,1,04月,6
01-013-6,1,13,L,2,2,"縁,ゆ,","デ,デ","←,↓,",3,01-013,01-013-L,False,1,1,04月,6
01-013-7,1,13,L,3,1,"ゆ,",詳,"↓,",2,01-013,01-013-L,False,1,1,04月,6
01-013-8,1,13,L,4,3,"縁,ゆ,唯,","デ,デ,デ","←,→,→,",4,01-013,01-013-L,False,1,1,04月,6
01-014-1,1,14,R,1,2,"ゆ,唯,","詳,詳","↓,↓,",3,01-014,01-014-R,False,1,1,04月,6
01-014-2,1,14,R,2,2,"唯,縁,","詳,デ","↓,↓,",3,01-014,01-014-R,False,1,1,04月,6
01-014-3,1,14,R,3,2,"ゆ,唯,","詳,詳","←,↓,",3,01-014,01-014-R,False,1,1,04月,6
01-014-4,1,14,R,4,3,"縁,唯,ゆ,","デ,デ","←,↑,↓,",3,01-014,01-014-R,False,1,1,04月,6
01-014-5,1,14,L,1,1,"唯,",詳,"↓,",2,01-014,01-014-L,False,1,1,04月,6
01-014-6,1,14,L,2,3,"ゆ,唯,縁,","デ,詳,デ","←,↓,→,",4,01-014,01-014-L,False,1,1,04月,6
01-014-7,1,14,L,3,3,"ゆ,唯,縁,","デ,詳,デ","←,↓,→,",4,01-014,01-014-L,False,1,1,04月,6
01-014-8,1,14,L,4,3,"ゆ,唯,縁,","デ,詳,デ","←,↓,→,",4,01-014,01-014-L,False,1,1,04月,6
01-015-3,1,15,R,3,2,"ゆ,縁,","詳,デ","↓,↓,",3,01-015,01-015-R,True,2,1,04月,6
01-015-4,1,15,R,4,0,,n,nan,1,01-015,01-015-R,True,2,1,04月,6
01-015-7,1,15,L,3,0,,n,nan,1,01-015,01-015-L,True,2,1,04月,6
01-015-8,1,15,L,4,3,"ゆ,唯,縁,","デ,詳,デ","↓,↓,↓,",4,01-015,01-015-L,True,2,1,04月,6
01-016-1,1,16,R,1,4,"ゆ,ゆ,唯,縁,","詳,デ,デ,デ","↓,↓,↓,←,",5,01-016,01-016-R,False,2,1,04月,6
01-016-2,1,16,R,2,1,"唯,",詳,"↓,",2,01-016,01-016-R,False,2,1,04月,6
01-016-3,1,16,R,3,2,"ゆ,唯,","デ,詳","↓,→,",3,01-016,01-016-R,False,2,1,04月,6
01-016-4,1,16,R,4,2,"ゆ,唯,","詳,詳","↓,→,",3,01-016,01-016-R,False,2,1,04月,6
01-016-5,1,16,L,1,3,"ゆ,縁,唯,","詳,デ,詳","←,↓,→,",4,01-016,01-016-L,False,2,1,04月,6
01-016-6,1,16,L,2,1,"縁,",デ,"↓,",2,01-016,01-016-L,False,2,1,04月,6
01-016-7,1,16,L,3,2,"唯,ゆ,","デ,デ","↓,↓,",3,01-016,01-016-L,False,2,1,04月,6
01-016-8,1,16,L,4,3,"ゆ,縁,唯,","デ,デ,デ","←,↓,→,",4,01-016,01-016-L,False,2,1,04月,6
01-017-1,1,17,R,1,2,"縁,唯,","デ,詳","↓,→,",3,01-017,01-017-R,False,2,1,04月,6
01-017-2,1,17,R,2,1,"唯,",詳,"↓,",2,01-017,01-017-R,False,2,1,04月,6
01-017-3,1,17,R,3,2,"唯,縁,","詳,デ","←,→,",3,01-017,01-017-R,False,2,1,04月,6
01-017-4,1,17,R,4,1,"唯,",詳,"←,",2,01-017,01-017-R,False,2,1,04月,6
01-017-5,1,17,L,1,3,"唯,縁,ゆ,","詳,デ,デ","↓,↓,→,",4,01-017,01-017-L,False,2,1,04月,6
01-017-6,1,17,L,2,3,"ゆ,縁,唯,","デ,デ","→,↓,↑,",3,01-017,01-017-L,False,2,1,04月,6
01-017-7,1,17,L,3,1,"唯,",詳,"↓,",2,01-017,01-017-L,False,2,1,04月,6
01-017-8,1,17,L,4,3,"縁,ゆ,唯,","デ,デ,デ","←,←,↓,",4,01-017,01-017-L,False,2,1,04月,6
01-018-1,1,18,R,1,1,"ゆ,",デ,"↓,",2,01-018,01-018-R,False,2,1,04月,6
01-018-2,1,18,R,2,2,"ゆ,唯,","デ,詳","←,↓,",3,01-018,01-018-R,False,2,1,04月,6
01-018-3,1,18,R,3,2,"ゆ,唯,","デ,詳","←,↓,",3,01-018,01-018-R,False,2,1,04月,6
01-018-4,1,18,R,4,0,,n,nan,1,01-018,01-018-R,False,2,1,04月,6
01-018-5,1,18,L,1,3,"ゆ,唯,縁,","デ,詳,デ","←,↓,→,",4,01-018,01-018-L,False,2,1,04月,6
01-018-6,1,18,L,2,0,,n,nan,1,01-018,01-018-L,False,2,1,04月,6
01-018-7,1,18,L,3,2,"ゆ,唯,","詳,詳","↓,↓,",3,01-018,01-018-L,False,2,1,04月,6
01-018-8,1,18,L,4,2,"縁,ゆ,",デ,"↓,↑,",2,01-018,01-018-L,False,2,1,04月,6
01-019-1,1,19,R,1,2,"ゆ,唯,","デ,詳","←,↓,",3,01-019,01-019-R,False,2,1,04月,6
01-019-2,1,19,R,2,2,"ゆ,唯,","デ,デ","←,↓,",3,01-019,01-019-R,False,2,1,04月,6
01-019-3,1,19,R,3,2,"ゆ,唯,","デ,詳","↓,→,",3,01-019,01-019-R,False,2,1,04月,6
01-019-4,1,19,R,4,2,"ゆ,唯,","デ,詳","↓,→,",3,01-019,01-019-R,False,2,1,04月,6
01-019-5,1,19,L,1,1,"唯,",デ,"↓,",2,01-019,01-019-L,False,2,1,04月,6
01-019-6,1,19,L,2,3,"唯,ゆ,縁,","デ,デ,デ","↓,↓,→,",4,01-019,01-019-L,False,2,1,04月,6
01-019-7,1,19,L,3,3,"唯,ゆ,縁,","デ,詳,デ","↓,←,↓,",4,01-019,01-019-L,False,2,1,04月,6
01-019-8,1,19,L,4,3,"唯,ゆ,縁,","デ,デ,デ","↓,←,↓,",4,01-019,01-019-L,False,2,1,04月,6
01-020-1,1,20,R,1,1,"唯,",詳,"↓,",2,01-020,01-020-R,False,2,1,04月,6
01-020-2,1,20,R,2,1,"唯,",詳,"↓,",2,01-020,01-020-R,False,2,1,04月,6
01-020-3,1,20,R,3,1,"唯,",詳,"↓,",2,01-020,01-020-R,False,2,1,04月,6
01-020-4,1,20,R,4,1,"唯,",詳,"↓,",2,01-020,01-020-R,False,2,1,04月,6
01-020-5,1,20,L,1,1,"唯,",詳,"↓,",2,01-020,01-020-L,False,2,1,04月,6
01-020-6,1,20,L,2,1,"唯,",詳,"←,",2,01-020,01-020-L,False,2,1,04月,6
01-020-7,1,20,L,3,0,,n,nan,1,01-020,01-020-L,False,2,1,04月,6
01-020-8,1,20,L,4,1,"唯,",デ,"←,",2,01-020,01-020-L,False,2,1,04月,6
01-021-3,1,21,R,3,2,"唯,ゆ,","詳,デ","↓,↓,",3,01-021,01-021-R,True,3,1,04月,8
01-021-4,1,21,R,4,1,"ゆ,",詳,"↓,",2,01-021,01-021-R,True,3,1,04月,8
01-021-7,1,21,L,3,1,"唯,",詳,"↓,",2,01-021,01-021-L,True,3,1,04月,8
01-021-8,1,21,L,4,2,"ゆ,唯,",デ,"↓,↑,",2,01-021,01-021-L,True,3,1,04月,8
01-022-1,1,22,R,1,2,"縁,唯,","デ,詳","↓,→,",3,01-022,01-022-R,False,3,1,04月,8
01-022-2,1,22,R,2,2,"他,縁,","デ,デ","↓,↓,",3,01-022,01-022-R,False,3,1,04月,8
