koma_id,img_path,kanji,page,position,koma,size_x,size_y,chara_num,whos,eyes,face_direction,place,background,serif_num_base,whos_s,serifs_base,onomatope,step,step1_inputer,step2_inputer,step3_inputer,serif_num,serifs,img_path_m,index
01-009-5,/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-012-5.jpg,1,9,L,1,323,245,2.0,"ゆ,縁,","デフォルメ,デフォルメ,","正面前,正面前,",,,,,,,2.0,yui,not_yet,not_yet,2.0,"おとこ男優?,言わない",/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-012-5.jpg,0
01-009-6,/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-012-6.jpg,1,9,L,2,322,254,2.0,"ゆ,縁,","デフォルメ,デフォルメ,","左向き前,右向き前,",,,,,,,2.0,yui,not_yet,not_yet,3.0,"まちがえたー?,うん,間違えた",/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-012-6.jpg,1
01-009-7,/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-012-7.jpg,1,9,L,3,323,252,2.0,"ゆ,縁,","デフォルメ,デフォルメ,","左向き前,右向き前,",,,,,,,2.0,yuzuko,not_yet,not_yet,2.0,"アタイ日本語を間違え,アタイの人だ",/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-012-7.jpg,2
01-009-8,/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-012-8.jpg,1,9,L,4,323,244,2.0,"ゆ,縁,","デフォルメ,デフォルメ,","正面前,正面前,",,,,,,,2.0,yui,not_yet,not_yet,2.0,"アアタイに構うんじゃあ,キャラなの?",/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-012-8.jpg,3
01-010-1,/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-013-1.jpg,1,10,R,1,322,244,3.0,"縁,唯,ゆ,","デフォルメ,詳細,デフォルメ,","左向き前,正面前,正面前,",,,,,,,2.0,yukari,not_yet,not_yet,2.0,"じゃあありがとうね,全然です",/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-013-1.jpg,4
01-010-2,/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-013-2.jpg,1,10,R,2,322,252,1.0,"縁,","デフォルメ,","正面前,",,,,,,,2.0,yui,not_yet,not_yet,0.0,,/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-013-2.jpg,5
01-010-3,/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-013-3.jpg,1,10,R,3,322,251,1.0,"縁,","詳細,","正面前,",,,,,,,2.0,yukari,not_yet,not_yet,2.0,"あいちゃん?ボディーガード
?,えっ?",/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-013-3.jpg,6
01-010-4,/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-013-4.jpg,1,10,R,4,322,245,3.0,"縁,唯,ゆ,","デフォルメ,詳細,デフォルメ,","左向き前,正面前,右向き前,",,,,,,,2.0,yukari,not_yet,not_yet,3.0,"えっとー生徒会の,?,おらんわ!",/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-013-4.jpg,7
01-010-5,/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-013-5.jpg,1,10,L,1,322,245,2.0,"縁,唯,","デフォルメ,詳細,","正面前,右向き前,",,,,,,,2.0,yukari,not_yet,not_yet,1.0,まんが生徒会か,/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-013-5.jpg,8
01-010-6,/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-013-6.jpg,1,10,L,2,322,252,2.0,"唯,ゆ,","デフォルメ,デフォルメ,","正面前,右向き前,",,,,,,,2.0,yui,not_yet,not_yet,2.0,"あそいえばあいちゃんどーゆー役職なの?,の生徒会かっ",/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-013-6.jpg,9
01-010-7,/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-013-7.jpg,1,10,L,3,322,251,2.0,"縁,唯,","デフォルメ,隠れ,","正面前,正面前,",,,,,,,2.0,yukari,not_yet,not_yet,3.0,"フィクサー2,巨乳フィクサー?,役職の",/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-013-7.jpg,10
01-010-8,/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-013-8.jpg,1,10,L,4,322,245,2.0,"縁,唯,","デフォルメ,詳細,","左向き前,正面前,",,,,,,,2.0,None,not_yet,not_yet,1.0,ふつう??,/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-013-8.jpg,11
01-011-1,/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-014-1.jpg,1,11,R,1,323,244,3.0,"縁,ゆ,唯,","デフォルメ,詳細,詳細,","正面前,正面前,正面前,",,,,,,,2.0,yukari,not_yet,not_yet,2.0,"でもあいちゃんの親御さんはつけたいよねボディーガード,つけたい",/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-014-1.jpg,12
01-011-2,/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-014-2.jpg,1,11,R,2,322,252,2.0,"ゆ,唯,","詳細,詳細,","正面前,左向き前,",,,,,,,2.0,yuzuko,not_yet,not_yet,2.0,"…バカと思われてるよ?,ふだん",/Users/esuji/work/yuyu_data/yuyu01/koma/th_image-014-2.jpg,13
